Time,Distance,Speed,Lap,Sector,Brake Times,Map Crashed,Car Crashed,Passed Circus,Circus entry,Passed Crosswalk,Crosswalk entry,Car Overturned
0,0,13,1,1,0,0,0,0,0,0,0,0
1,0,24,1,1,0,0,0,0,0,0,0,0
2,0,29,1,1,0,0,0,0,0,0,0,0
3,1,28,1,1,0,0,0,0,0,0,0,0
4,2,29,1,1,0,0,0,0,1,0,0,0
5,3,7,1,1,0,0,0,1,1,0,0,0
6,3,5,1,1,1,0,0,1,1,0,0,0
7,3,1,1,1,1,0,1,1,1,0,0,0
8,3,9,1,1,1,0,1,1,1,0,0,0
9,3,14,1,1,1,0,1,1,0,0,0,0
10,2,15,1,1,1,0,1,1,0,0,0,0
11,3,20,1,1,1,0,1,1,0,0,0,0
12,3,29,1,1,1,0,1,0,0,0,0,0
13,4,39,1,1,1,0,1,0,0,0,0,0
14,5,40,1,1,1,0,1,0,0,0,0,0
15,5,45,1,1,1,0,1,0,0,0,0,0
16,6,45,1,1,1,0,1,0,0,0,0,0
17,7,44,1,1,1,0,1,0,0,1,1,0
18,8,39,1,1,1,0,1,0,2,1,1,0
19,9,34,1,1,2,0,1,2,0,0,0,0
20,9,37,1,1,2,0,1,2,0,0,0,0
21,10,10,1,1,2,0,1,2,0,0,0,0
22,10,7,1,1,2,0,1,2,0,0,0,0
23,10,1,1,1,2,0,1,2,0,0,0,0
24,10,7,1,1,2,0,1,2,0,0,0,0
25,10,19,1,1,2,0,1,0,0,0,0,0
26,10,29,1,1,2,0,1,0,0,0,0,0
27,11,39,1,1,2,0,1,0,0,0,0,0
28,12,40,1,1,2,0,1,0,0,0,0,0
29,12,39,1,1,2,0,1,0,0,0,0,0
30,13,33,1,2,3,0,1,0,3,0,0,0
31,14,19,1,2,3,0,1,3,0,0,0,0
32,14,16,1,2,3,0,1,3,0,0,0,0
33,14,10,1,2,3,0,2,3,0,0,0,0
34,14,5,1,2,3,0,2,3,0,0,0,0
35,14,2,1,2,3,0,2,3,0,0,0,0
36,14,10,1,2,3,0,2,3,0,0,0,0
37,14,18,1,2,3,0,2,3,0,0,0,0
38,14,26,1,2,3,0,2,0,0,0,0,0
39,15,33,1,2,3,0,2,0,0,0,0,0
40,16,33,1,2,3,0,2,0,0,0,0,0
41,16,38,1,2,3,0,2,0,0,0,0,0
42,17,39,1,2,3,0,2,0,0,0,0,0
43,18,38,1,2,3,0,2,0,4,0,0,0
44,18,36,1,2,3,0,2,4,4,0,0,0
45,20,38,1,2,3,0,2,4,0,0,0,0
46,20,2,1,2,3,0,2,4,0,0,0,0
47,20,4,1,2,3,0,2,4,0,0,0,0
48,20,4,1,2,3,0,2,4,0,0,0,0
49,20,12,1,2,3,0,2,4,0,0,0,0
50,19,20,1,2,3,0,2,4,0,0,0,0
51,19,26,1,2,3,0,2,4,0,0,0,0
52,20,28,1,2,3,0,2,4,0,0,0,0
53,21,29,1,2,3,0,2,0,0,0,0,0
54,21,32,1,2,3,0,2,0,0,0,0,0
55,22,37,1,2,3,0,2,0,0,2,0,0
56,22,36,1,2,3,0,2,0,0,2,2,0
57,23,34,1,2,3,0,2,0,0,0,0,0
58,24,32,1,2,3,0,2,0,5,0,0,0
59,24,31,1,3,3,0,2,5,5,0,0,0
60,25,28,1,3,3,0,2,5,0,0,0,0
61,26,25,1,3,3,0,2,5,0,0,0,0
62,26,27,1,3,3,0,2,0,0,0,0,0
63,27,31,1,3,3,0,2,0,0,0,0,0
64,28,36,1,3,3,0,2,0,0,0,0,0
65,28,40,1,3,3,0,2,0,0,0,0,0
66,29,41,1,3,3,0,2,0,0,0,0,0
67,30,21,1,3,4,0,2,0,0,0,0,0
68,30,1,1,3,4,0,2,0,0,0,0,0
69,30,10,1,3,4,0,2,0,0,0,0,0
70,30,1,1,3,4,0,2,0,0,0,0,0
71,30,9,1,3,4,0,2,0,0,0,0,0
72,30,18,1,3,4,0,2,0,0,0,0,0
73,31,4,1,3,5,0,2,0,0,0,0,0
74,31,5,1,3,5,0,2,0,0,0,0,0
75,30,7,1,3,5,0,2,0,0,0,0,0
76,30,3,1,3,5,0,2,0,0,0,0,0
77,30,11,1,3,5,0,2,0,0,0,0,0
78,31,19,1,3,5,0,2,0,0,0,0,0
79,31,28,1,3,5,0,2,0,0,0,0,0
80,32,36,1,3,5,0,2,0,0,0,0,0
81,32,44,1,3,5,0,2,0,0,0,0,0
82,33,52,1,3,5,0,2,0,0,0,0,0
83,34,62,1,3,5,0,2,0,0,0,0,0
84,36,63,1,3,5,0,2,0,0,0,0,0
85,37,61,1,3,5,0,2,0,0,0,0,0
86,39,40,1,3,6,0,2,0,0,0,0,0
87,39,0,1,3,6,0,2,0,0,0,0,0
88,39,4,1,3,6,0,2,0,0,0,0,0
89,39,9,1,3,6,0,2,0,0,0,0,0
90,38,2,1,3,6,0,2,0,0,0,0,0
91,38,10,1,3,6,0,2,0,0,0,0,0
92,38,19,1,3,6,0,2,0,0,0,0,0
93,39,27,1,3,6,0,2,0,0,0,0,0
94,39,35,1,3,6,0,2,0,0,0,0,0
95,40,39,1,3,6,0,2,0,0,0,0,0
96,41,44,1,3,6,0,2,0,0,3,0,0
97,42,51,1,3,6,0,2,0,0,3,3,0
98,43,55,1,3,6,0,2,0,0,0,0,0
99,44,53,1,3,6,0,2,0,0,0,0,0
100,45,51,1,3,6,0,2,0,0,0,0,0
101,46,50,1,3,6,0,2,0,0,0,0,0
102,47,48,1,3,6,0,2,0,0,0,0,0
103,48,42,1,3,7,0,2,0,0,0,0,0
104,48,39,1,3,8,0,2,0,6,0,0,0
105,53,37,2,1,8,0,2,6,0,0,0,0
106,53,1,2,1,8,0,2,6,0,0,0,0
107,53,6,2,1,8,0,2,6,0,0,0,0
108,53,2,2,1,8,1,3,6,0,0,0,0
109,53,10,2,1,8,1,3,6,0,0,0,0
110,53,4,2,1,8,1,3,6,0,0,0,0
111,53,14,2,1,8,1,3,6,0,0,0,0
112,52,4,2,1,8,1,3,6,0,0,0,0
113,53,5,2,1,8,1,3,6,0,0,0,0
114,53,14,2,1,8,1,3,6,0,0,0,0
115,52,12,2,1,8,1,3,6,0,0,0,0
116,53,20,2,1,8,1,3,6,0,0,0,0
117,53,28,2,1,8,1,3,0,0,0,0,0
118,54,34,2,1,8,1,3,0,0,0,0,0
119,55,38,2,1,8,1,3,0,0,0,0,0
120,55,38,2,1,8,1,3,0,0,0,0,0
121,56,41,2,1,8,1,3,0,0,0,0,0
122,57,45,2,1,8,1,3,0,0,4,0,0
123,58,43,2,1,8,1,3,0,7,4,4,0
124,59,36,2,1,9,1,3,7,7,0,0,0
125,59,27,2,1,9,1,3,7,0,0,0,0
126,59,24,2,1,9,1,3,7,0,0,0,0
127,59,26,2,1,9,1,3,7,0,0,0,0
128,60,31,2,1,9,1,3,0,0,0,0,0
129,61,38,2,1,9,1,3,0,0,0,0,0
130,62,38,2,1,9,1,3,0,0,0,0,0
131,62,39,2,1,9,1,3,0,0,0,0,0
132,63,38,2,2,9,1,3,0,8,0,0,0
133,65,38,2,2,9,1,3,8,0,0,0,0
134,64,4,2,2,9,1,3,8,0,0,0,0
135,65,1,2,2,9,2,3,8,0,0,0,0
136,65,9,2,2,9,2,3,8,0,0,0,0
137,65,5,2,2,9,2,3,8,0,0,0,0
138,65,5,2,2,9,2,3,0,0,0,0,0
139,65,1,2,2,9,2,3,0,0,0,0,0
140,65,9,2,2,9,2,4,0,0,0,0,0
141,64,7,2,2,9,2,4,0,0,0,0,0
142,64,8,2,2,9,2,4,0,0,0,0,0
143,64,19,2,2,9,2,4,0,0,0,0,0
144,64,25,2,2,9,2,4,0,0,0,0,0
145,65,29,2,2,9,2,4,0,0,0,0,0
146,66,32,2,2,9,2,4,0,0,0,0,0
147,66,34,2,2,9,2,4,0,0,0,0,0
148,67,41,2,2,9,2,4,0,0,0,0,0
149,68,40,2,2,9,2,4,0,0,0,0,0
150,68,30,2,2,10,2,4,0,9,0,0,0
151,70,28,2,2,10,2,4,9,0,0,0,0
152,70,26,2,2,10,2,4,9,0,0,0,0
153,70,21,2,2,10,2,4,9,0,0,0,0
154,69,24,2,2,10,2,4,9,0,0,0,0
155,70,25,2,2,10,2,4,9,0,0,0,0
156,71,34,2,2,10,2,4,0,0,0,0,0
157,71,43,2,2,10,2,4,0,0,0,0,0
158,72,44,2,2,10,2,4,0,0,5,5,0
159,73,43,2,2,10,2,4,0,0,5,5,0
160,74,39,2,2,10,2,4,0,10,0,0,0
161,74,36,2,3,10,2,4,10,0,0,0,0
162,75,31,2,3,10,2,4,10,0,0,0,0
163,76,8,2,3,10,2,7,10,0,0,0,0
164,76,0,2,3,11,2,7,0,0,0,0,0
165,76,5,2,3,11,2,8,0,0,0,0,0
166,76,3,2,3,11,2,8,0,0,0,0,0
