Time,Distance,Speed,Lap,Sector,Brake Times,Map Crashed,Car Crashed,Passed Circus,Circus entry,Passed Crosswalk,Crosswalk entry,Car Overturned
0,0,6,1,1,6,0,0,0,0,0,0,0
1,0,10,1,1,6,0,0,0,0,0,0,0
2,0,13,1,1,6,0,0,0,0,0,0,0
3,0,13,1,1,6,0,0,0,0,0,0,0
4,0,14,1,1,6,0,0,0,0,0,0,0
5,1,15,1,1,6,0,0,0,0,0,0,0
6,1,16,1,1,6,0,0,0,0,0,0,0
7,1,12,1,1,7,0,0,0,1,0,0,0
8,1,8,1,1,8,0,0,0,1,0,0,0
9,2,0,1,1,9,0,0,0,1,0,0,0
10,2,8,1,1,9,0,0,0,1,0,0,0
11,2,8,1,1,9,0,0,0,1,0,0,0
12,2,8,1,1,9,0,0,1,1,0,0,0
13,2,9,1,1,9,0,0,1,0,0,0,0
14,2,10,1,1,9,0,0,1,0,0,0,0
15,2,11,1,1,9,0,0,1,0,0,0,0
16,3,12,1,1,9,0,0,1,0,0,0,0
17,3,0,1,1,9,0,0,1,0,0,0,0
18,3,0,1,1,10,0,0,1,0,0,0,0
19,3,0,1,1,10,0,0,1,0,0,0,0
20,3,0,1,1,10,0,0,1,0,0,0,0
21,3,0,1,1,11,0,0,1,0,0,0,0
22,3,0,1,1,11,0,0,1,0,0,0,0
23,3,4,1,1,11,0,0,1,0,0,0,0
24,3,3,1,1,11,0,0,1,0,0,0,0
25,3,3,1,1,11,0,0,1,0,0,0,0
26,3,1,1,1,11,1,0,1,0,0,0,0
27,3,7,1,1,11,1,0,1,0,0,0,0
28,3,17,1,1,11,1,0,1,0,0,0,0
29,3,20,1,1,11,1,0,0,0,0,0,0
30,4,20,1,1,11,1,0,0,0,0,0,0
31,4,21,1,1,11,1,0,0,0,0,0,0
32,4,21,1,1,11,1,0,0,0,0,0,0
33,5,21,1,1,11,1,0,0,0,0,0,0
34,5,21,1,1,11,1,0,0,0,0,0,0
35,6,24,1,1,11,1,0,0,0,0,0,0
36,6,23,1,1,11,1,0,0,0,0,0,0
37,7,23,1,1,11,1,0,0,0,0,0,0
38,7,22,1,1,11,1,0,0,0,1,1,0
39,7,11,1,1,12,1,0,0,0,1,1,0
40,7,2,1,1,12,1,0,0,0,1,1,0
41,8,6,1,1,12,1,0,0,0,1,1,0
42,8,10,1,1,12,1,0,0,0,1,1,0
43,8,14,1,1,12,1,0,0,2,1,1,0
44,8,15,1,1,12,1,0,0,2,0,0,0
45,8,6,1,1,14,1,0,0,2,0,0,0
46,9,9,1,1,14,1,0,2,2,0,0,0
47,9,8,1,1,14,1,0,2,0,0,0,0
48,9,11,1,1,14,1,0,2,0,0,0,0
49,9,12,1,1,14,1,0,2,0,0,0,0
50,9,11,1,1,14,1,0,2,0,0,0,0
51,9,13,1,1,14,1,0,2,0,0,0,0
52,9,14,1,1,14,1,0,2,0,0,0,0
53,10,13,1,1,14,1,0,0,0,0,0,0
54,10,13,1,1,14,1,0,0,0,0,0,0
55,10,17,1,1,14,1,0,0,0,0,0,0
56,11,16,1,1,14,1,0,0,0,0,0,0
57,11,17,1,1,14,1,0,0,0,0,0,0
58,11,21,1,1,14,1,0,0,0,0,0,0
59,12,21,1,1,14,1,0,0,0,0,0,0
60,12,20,1,1,14,1,0,0,0,0,0,0
61,13,14,1,1,15,1,0,0,0,0,0,0
62,13,13,1,2,15,1,0,0,3,0,0,0
63,13,12,1,2,16,1,0,0,3,0,0,0
64,13,0,1,2,16,1,0,0,3,0,0,0
65,13,8,1,2,16,1,0,0,3,0,0,0
66,13,13,1,2,16,1,0,3,3,0,0,0
67,14,14,1,2,16,1,0,3,0,0,0,0
68,14,12,1,2,16,1,0,3,0,0,0,0
69,14,0,1,2,16,2,3,3,0,0,0,0
70,14,0,1,2,17,2,3,3,0,0,0,0
71,14,3,1,2,17,2,3,3,0,0,0,0
72,14,5,1,2,17,2,3,3,0,0,0,0
73,14,4,1,2,17,2,3,3,0,0,0,0
74,14,3,1,2,17,2,3,3,0,0,0,0
75,14,1,1,2,17,2,3,3,0,0,0,0
76,14,2,1,2,17,2,3,3,0,0,0,0
77,14,5,1,2,17,2,3,3,0,0,0,0
78,14,8,1,2,17,2,3,3,0,0,0,0
79,14,7,1,2,17,2,3,3,0,0,0,0
80,14,10,1,2,17,2,3,3,0,0,0,0
81,14,10,1,2,17,2,3,3,0,0,0,0
82,14,12,1,2,17,2,3,3,0,0,0,0
83,14,10,1,2,17,2,3,0,0,0,0,0
84,15,12,1,2,17,2,3,0,0,0,0,0
85,15,17,1,2,17,2,3,0,0,0,0,0
86,15,19,1,2,17,2,3,0,0,0,0,0
87,16,20,1,2,17,2,3,0,0,0,0,0
88,16,22,1,2,17,2,3,0,0,0,0,0
89,17,22,1,2,17,2,3,0,0,0,0,0
90,17,22,1,2,17,2,3,0,0,0,0,0
91,17,21,1,2,17,2,3,0,0,0,0,0
92,18,13,1,2,18,2,3,0,0,0,0,0
93,18,13,1,2,18,2,3,0,4,0,0,0
94,18,13,1,2,18,2,3,0,4,0,0,0
95,18,12,1,2,18,2,3,0,4,0,0,0
96,20,13,1,2,18,2,3,4,0,0,0,0
97,20,13,1,2,18,2,3,4,0,0,0,0
98,20,12,1,2,18,2,3,4,0,0,0,0
99,20,12,1,2,18,2,3,4,0,0,0,0
100,20,11,1,2,18,2,3,4,0,0,0,0
101,20,10,1,2,18,2,3,4,0,0,0,0
102,20,10,1,2,18,2,4,4,0,0,0,0
103,20,10,1,2,18,2,4,4,0,0,0,0
104,19,10,1,2,18,2,4,4,0,0,0,0
105,20,9,1,2,18,2,4,4,0,0,0,0
106,20,8,1,2,18,2,4,4,0,0,0,0
107,20,12,1,2,18,2,4,0,0,0,0,0
108,20,15,1,2,18,2,4,0,0,0,0,0
109,21,16,1,2,18,2,4,0,0,0,0,0
110,21,18,1,2,18,2,4,0,0,0,0,0
111,21,20,1,2,18,2,4,0,0,0,0,0
112,22,21,1,2,18,2,4,0,0,2,0,0
113,22,20,1,2,18,2,4,0,0,2,2,0
114,22,11,1,2,19,2,4,0,0,2,2,0
115,22,0,1,2,20,2,4,0,0,2,2,0
116,23,9,1,2,20,2,4,0,0,2,2,0
117,23,12,1,2,20,2,4,0,0,2,2,0
118,23,14,1,2,20,2,4,0,0,2,2,0
119,24,14,1,2,20,2,4,0,0,0,0,0
120,24,13,1,2,20,2,4,0,0,0,0,0
121,24,14,1,2,20,2,4,0,5,0,0,0
122,24,13,1,2,20,2,4,0,5,0,0,0
123,24,13,1,2,20,2,4,0,5,0,0,0
124,25,12,1,3,20,2,4,5,0,0,0,0
125,25,12,1,3,20,2,4,5,0,0,0,0
126,25,0,1,3,21,2,4,5,0,0,0,0
127,25,2,1,3,21,2,4,5,0,0,0,0
128,25,8,1,3,21,2,4,5,0,0,0,0
129,25,7,1,3,21,2,4,5,0,0,0,0
130,25,6,1,3,21,2,4,5,0,0,0,0
131,25,0,1,3,23,2,4,5,0,0,0,0
132,25,4,1,3,23,2,4,5,0,0,0,0
133,25,15,1,3,23,2,4,5,0,0,0,0
134,25,2,1,3,24,3,4,5,0,0,0,0
135,26,6,1,3,24,3,4,5,0,0,0,0
136,26,10,1,3,24,3,4,5,0,0,0,0
137,26,11,1,3,24,3,4,5,0,0,0,0
138,26,13,1,3,24,3,4,0,0,0,0,0
139,26,17,1,3,24,3,4,0,0,0,0,0
140,27,19,1,3,24,3,4,0,0,0,0,0
141,27,22,1,3,24,3,4,0,0,0,0,0
142,27,24,1,3,24,3,4,0,0,0,0,0
143,28,24,1,3,24,3,4,0,0,0,0,0
144,28,23,1,3,24,3,4,0,0,0,0,0
145,29,17,1,3,25,3,4,0,0,0,0,0
146,29,18,1,3,25,3,4,0,0,0,0,0
147,30,16,1,3,25,3,4,0,0,0,0,0
148,30,15,1,3,25,3,4,0,0,0,0,0
149,30,8,1,3,25,3,4,0,0,0,0,0
150,31,1,1,3,26,3,4,0,0,0,0,0
151,30,10,1,3,26,3,4,0,0,0,0,0
152,30,1,1,3,26,3,4,0,0,0,0,0
153,30,8,1,3,26,3,4,0,0,0,0,0
154,30,12,1,3,26,3,4,0,0,0,0,0
155,30,14,1,3,26,3,4,0,0,0,0,0
156,31,20,1,3,26,3,4,0,0,0,0,0
157,31,24,1,3,26,3,4,0,0,0,0,0
158,32,25,1,3,26,3,4,0,0,0,0,0
159,32,26,1,3,26,3,4,0,0,0,0,0
160,33,27,1,3,26,3,4,0,0,0,0,0
161,33,27,1,3,26,3,4,0,0,0,0,0
162,34,29,1,3,26,3,4,0,0,0,0,0
163,34,28,1,3,26,3,4,0,0,0,0,0
164,35,29,1,3,26,3,4,0,0,0,0,0
165,35,27,1,3,26,3,4,0,0,0,0,0
166,36,28,1,3,26,3,4,0,0,0,0,0
167,36,27,1,3,26,3,4,0,0,0,0,0
168,37,26,1,3,26,3,4,0,0,0,0,0
169,37,25,1,3,26,3,4,0,0,0,0,0
170,39,29,1,3,26,3,4,0,0,0,0,0
171,38,27,1,3,26,3,4,0,0,0,0,0
172,39,8,1,3,26,3,4,0,0,0,0,0
173,39,0,1,3,26,3,4,0,0,0,0,0
174,39,0,1,3,28,3,4,0,0,0,0,0
175,39,0,1,3,28,3,4,0,0,0,0,0
176,39,0,1,3,28,3,4,0,0,0,0,0
177,39,10,1,3,28,3,4,0,0,0,0,0
178,39,8,1,3,28,3,4,0,0,0,0,0
179,39,5,1,3,28,3,4,0,0,0,0,0
180,39,9,1,3,28,3,4,0,0,0,0,0
181,39,12,1,3,28,3,4,0,0,0,0,0
182,39,14,1,3,28,3,4,0,0,0,0,0
183,39,18,1,3,28,3,4,0,0,0,0,0
184,40,17,1,3,28,3,4,0,0,0,0,0
185,40,23,1,3,28,3,4,0,0,0,0,0
186,41,26,1,3,28,3,4,0,0,0,0,0
187,41,26,1,3,28,3,4,0,0,3,3,0
188,42,27,1,3,29,3,4,0,0,3,3,0
189,42,0,1,3,29,3,4,0,0,3,3,0
190,42,8,1,3,29,3,4,0,0,3,3,0
191,42,14,1,3,29,3,4,0,0,3,3,0
192,42,16,1,3,29,3,4,0,0,0,0,0
193,43,21,1,3,29,3,4,0,0,0,0,0
194,43,24,1,3,29,3,4,0,0,0,0,0
195,44,25,1,3,29,3,4,0,0,0,0,0
196,44,25,1,3,29,3,4,0,0,0,0,0
197,45,26,1,3,29,3,4,0,0,0,0,0
198,45,25,1,3,29,3,4,0,0,0,0,0
199,46,25,1,3,29,3,4,0,0,0,0,0
200,46,26,1,3,29,3,4,0,0,0,0,0
201,47,20,1,3,30,3,4,0,0,0,0,0
202,47,20,1,3,30,3,4,0,0,0,0,0
203,47,20,1,3,30,3,4,0,0,0,0,0
204,48,15,1,3,31,3,4,0,0,0,0,0
205,48,17,1,3,31,3,4,0,0,0,0,0
206,48,9,1,3,33,3,4,0,6,0,0,0
207,48,11,1,3,33,3,4,0,6,0,0,0
208,48,11,1,3,33,3,4,0,6,0,0,0
209,49,11,1,3,33,3,4,0,6,0,0,0
210,49,0,1,3,33,3,4,1,6,0,0,0
211,49,0,1,3,34,3,4,1,6,0,0,0
212,49,6,1,3,34,3,4,0,6,0,0,0
213,49,0,1,3,34,3,4,0,6,0,0,0
214,49,3,1,3,34,3,4,0,6,0,0,0
215,49,4,1,3,34,3,4,0,6,0,0,0
216,53,7,2,1,34,3,4,0,6,0,0,0
217,53,8,2,1,34,3,4,0,0,0,0,0
218,53,7,2,1,34,3,4,0,0,0,0,0
219,53,6,2,1,34,3,4,0,0,0,0,0
220,53,10,2,1,34,3,4,0,0,0,0,0
221,53,9,2,1,34,3,4,0,0,0,0,0
222,52,7,2,1,34,3,4,0,0,0,0,0
223,52,6,2,1,34,3,4,0,0,0,0,0
224,52,9,2,1,34,3,4,0,0,0,0,0
225,53,15,2,1,34,3,4,0,0,0,0,0
226,53,19,2,1,34,3,4,0,0,0,0,0
227,54,21,2,1,34,3,4,0,0,0,0,0
228,54,25,2,1,34,3,4,0,0,0,0,0
229,55,26,2,1,34,3,4,0,0,0,0,0
230,55,27,2,1,34,3,4,0,0,0,0,0
231,56,28,2,1,34,3,4,0,0,0,0,0
232,56,27,2,1,34,3,4,0,0,0,0,0
233,56,1,2,1,34,3,4,0,0,0,0,0
234,56,4,2,1,34,3,4,0,0,0,0,0
235,56,7,2,1,34,3,4,0,0,0,0,0
236,56,1,2,1,34,3,4,0,0,0,0,0
237,56,0,2,1,34,3,4,0,0,0,0,0
238,56,6,2,1,34,3,4,0,0,0,0,0
239,56,0,2,1,34,3,4,0,0,0,0,0
240,56,0,2,1,34,3,4,0,0,0,0,0
241,56,7,2,1,34,3,4,0,0,0,0,0
242,56,10,2,1,34,3,4,0,0,0,0,0
243,56,9,2,1,34,3,4,0,0,0,0,0
244,57,12,2,1,34,3,4,0,0,4,0,0
245,57,11,2,1,34,3,4,0,0,4,4,0
246,57,14,2,1,34,3,4,0,0,4,4,0
247,57,13,2,1,34,3,4,0,0,4,4,0
248,58,0,2,1,35,3,4,0,0,4,4,0
249,58,9,2,1,35,3,4,0,0,4,4,0
250,58,17,2,1,35,3,4,0,7,4,4,0
251,58,20,2,1,35,3,4,0,7,0,0,0
252,59,18,2,1,35,3,4,7,0,0,0,0
253,59,17,2,1,35,3,4,7,0,0,0,0
254,59,15,2,1,35,3,4,7,0,0,0,0
255,59,14,2,1,35,3,4,7,0,0,0,0
256,59,15,2,1,35,3,4,7,0,0,0,0
257,60,16,2,1,35,3,4,0,0,0,0,0
258,60,15,2,1,35,3,4,0,0,0,0,0
259,61,16,2,1,35,3,4,0,0,0,0,0
260,61,17,2,1,35,3,4,0,0,0,0,0
261,61,21,2,1,35,3,4,0,0,0,0,0
262,62,21,2,1,35,3,4,0,0,0,0,0
263,62,24,2,1,35,3,4,0,0,0,0,0
264,62,23,2,1,35,3,4,0,0,0,0,0
265,63,15,2,2,36,3,4,0,8,0,0,0
266,63,9,2,2,37,3,4,0,8,0,0,0
267,63,9,2,2,37,3,4,0,8,0,0,0
268,63,9,2,2,37,3,4,8,8,0,0,0
269,64,10,2,2,37,3,4,8,0,0,0,0
270,64,9,2,2,37,3,4,8,0,0,0,0
271,64,9,2,2,37,3,4,8,0,0,0,0
272,64,11,2,2,37,3,4,8,0,0,0,0
273,64,12,2,2,37,3,4,8,0,0,0,0
274,64,13,2,2,37,3,4,8,0,0,0,0
275,64,12,2,2,37,3,4,0,0,0,0,0
276,65,14,2,2,37,3,4,0,0,0,0,0
277,65,13,2,2,37,3,4,0,0,0,0,0
278,65,17,2,2,37,3,4,0,0,0,0,0
279,66,18,2,2,37,3,4,0,0,0,0,0
280,66,18,2,2,37,3,4,0,0,0,0,0
281,66,21,2,2,37,3,4,0,0,0,0,0
282,67,20,2,2,37,3,4,0,0,0,0,0
283,67,21,2,2,37,3,4,0,0,0,0,0
284,67,21,2,2,37,3,4,0,0,0,0,0
285,68,20,2,2,37,3,4,0,9,0,0,0
286,68,14,2,2,38,3,4,0,9,0,0,0
287,68,13,2,2,38,3,4,0,9,0,0,0
288,70,12,2,2,38,3,4,9,0,0,0,0
289,70,12,2,2,38,3,4,9,0,0,0,0
290,70,12,2,2,38,3,4,9,0,0,0,0
291,70,13,2,2,38,3,4,9,0,0,0,0
292,70,11,2,2,38,3,4,9,0,0,0,0
293,70,11,2,2,38,3,4,9,0,0,0,0
294,69,10,2,2,38,3,4,9,0,0,0,0
295,69,11,2,2,38,3,4,9,0,0,0,0
296,69,13,2,2,38,3,4,9,0,0,0,0
297,70,15,2,2,38,3,4,9,0,0,0,0
298,70,17,2,2,38,3,4,0,0,0,0,0
299,71,25,2,2,38,3,4,0,0,0,0,0
300,71,26,2,2,38,3,4,0,0,0,0,0
301,72,27,2,2,38,3,4,0,0,5,0,0
302,72,24,2,2,39,3,4,0,0,5,5,0
303,72,5,2,2,40,3,4,0,0,5,5,0
304,72,0,2,2,41,3,4,0,0,5,5,0
305,73,10,2,2,41,3,4,0,0,5,5,0
306,73,15,2,2,41,3,4,0,0,5,5,0
307,73,4,2,2,41,3,4,0,0,0,0,0
308,73,6,2,2,41,3,4,0,0,0,0,0
309,73,10,2,2,41,3,4,0,0,0,0,0
310,74,14,2,2,41,3,4,0,0,0,0,0
311,74,15,2,2,41,3,4,0,10,0,0,0
312,74,14,2,2,41,3,4,0,10,0,0,0
313,74,6,2,3,42,3,4,0,10,0,0,0
314,74,6,2,3,42,3,4,10,10,0,0,0
315,75,10,2,3,42,3,4,10,0,0,0,0
316,75,9,2,3,42,3,4,10,0,0,0,0
317,75,10,2,3,42,3,4,10,0,0,0,0
318,75,12,2,3,42,3,4,10,0,0,0,0
319,76,15,2,3,42,3,4,10,0,0,0,0
320,76,16,2,3,42,3,4,0,0,0,0,0
321,77,19,2,3,42,3,4,0,0,0,0,0
322,77,20,2,3,42,3,4,0,0,0,0,0
323,77,26,2,3,42,3,4,0,0,0,0,0
324,78,27,2,3,42,3,4,0,0,0,0,0
325,78,26,2,3,42,3,4,0,0,0,0,0
326,79,25,2,3,42,3,4,0,0,0,0,0
327,79,16,2,3,43,3,4,0,0,0,0,0
328,80,9,2,3,43,3,4,0,0,0,0,0
329,80,10,2,3,43,3,4,0,0,0,0,0
330,80,13,2,3,43,3,4,0,0,0,0,0
331,80,15,2,3,43,3,4,0,0,0,0,0
332,81,21,2,3,43,3,4,0,0,0,0,0
333,81,28,2,3,43,3,4,0,0,0,0,0
334,82,29,2,3,43,3,4,0,0,0,0,0
335,82,30,2,3,43,3,4,0,0,0,0,0
336,83,30,2,3,43,3,4,0,0,0,0,0
337,83,31,2,3,43,3,4,0,0,0,0,0
338,84,32,2,3,43,3,4,0,0,0,0,0
339,84,32,2,3,43,3,4,0,0,0,0,0
340,85,28,2,3,44,3,4,0,0,0,0,0
341,86,28,2,3,44,3,4,0,0,0,0,0
342,86,26,2,3,44,3,4,0,0,0,0,0
343,87,25,2,3,44,3,4,0,0,0,0,0
344,87,24,2,3,44,3,4,0,0,0,0,0
345,87,17,2,3,45,3,4,0,0,0,0,0
346,89,15,2,3,45,3,4,0,0,0,0,0
347,89,17,2,3,45,3,4,0,0,0,0,0
348,89,15,2,3,45,3,4,0,0,0,0,0
349,89,0,2,3,45,3,4,0,0,0,0,0
350,89,5,2,3,46,3,4,0,0,0,0,0
351,89,6,2,3,46,3,4,0,0,0,0,0
352,89,5,2,3,46,3,4,0,0,0,0,0
353,89,6,2,3,46,3,4,0,0,0,0,0
354,89,0,2,3,46,3,4,0,0,0,0,0
355,89,8,2,3,46,3,4,0,0,0,0,0
356,89,10,2,3,46,3,4,0,0,0,0,0
357,89,16,2,3,46,3,4,0,0,0,0,0
358,89,19,2,3,46,3,4,0,0,0,0,0
359,89,21,2,3,46,3,4,0,0,0,0,0
360,90,22,2,3,46,3,4,0,0,0,0,0
361,90,27,2,3,46,3,4,0,0,0,0,0
362,91,28,2,3,46,3,4,0,0,0,0,0
