Time,Distance,Speed,Lap,Sector,Brake Times,Map Crashed,Car Crashed,Passed Circus,Circus entry,Passed Crosswalk,Crosswalk entry,Car Overturned
0,0,14,1,1,1,0,0,0,0,0,0,0
1,0,22,1,1,1,0,0,0,0,0,0,0
2,0,21,1,1,1,0,0,0,0,0,0,0
3,1,21,1,1,1,0,0,0,0,0,0,0
4,1,21,1,1,1,0,0,0,0,0,0,0
5,2,20,1,1,1,0,0,0,1,0,0,0
6,2,19,1,1,1,0,0,1,1,0,0,0
7,2,18,1,1,1,0,0,1,0,0,0,0
8,3,21,1,1,1,0,0,1,0,0,0,0
9,3,20,1,1,1,0,0,0,0,0,0,0
10,3,28,1,1,1,0,0,0,0,0,0,0
11,4,27,1,1,1,0,0,0,0,0,0,0
12,4,26,1,1,1,0,0,0,0,0,0,0
13,5,25,1,1,1,0,0,0,0,0,0,0
14,5,24,1,1,1,0,0,0,0,0,0,0
15,6,23,1,1,1,0,0,0,0,0,0,0
16,6,22,1,1,1,0,0,0,0,0,0,0
17,7,21,1,1,1,0,0,0,0,1,0,0
18,7,20,1,1,1,0,0,0,0,1,1,0
19,7,11,1,1,1,0,0,0,0,1,1,0
20,8,1,1,1,1,0,0,0,0,1,1,0
21,8,9,1,1,1,0,0,0,0,1,1,0
22,8,20,1,1,1,0,0,0,2,1,1,0
23,8,22,1,1,1,0,0,0,2,0,0,0
24,9,21,1,1,1,0,0,2,0,0,0,0
25,9,20,1,1,1,0,0,2,0,0,0,0
26,9,18,1,1,1,0,0,2,0,0,0,0
27,9,17,1,1,1,0,0,2,0,0,0,0
28,10,16,1,1,1,0,0,0,0,0,0,0
29,10,22,1,1,1,0,0,0,0,0,0,0
30,11,30,1,1,1,0,0,0,0,0,0,0
31,11,29,1,1,1,0,0,0,0,0,0,0
32,12,31,1,1,1,0,0,0,0,0,0,0
33,12,28,1,1,1,0,0,0,0,0,0,0
34,13,20,1,2,1,0,0,0,3,0,0,0
35,13,12,1,2,1,0,0,0,3,0,0,0
36,13,6,1,2,1,0,0,3,3,0,0,0
37,14,9,1,2,1,0,0,3,0,0,0,0
38,14,12,1,2,1,0,0,3,0,0,0,0
39,14,14,1,2,1,0,0,3,0,0,0,0
40,14,13,1,2,1,0,0,3,0,0,0,0
41,14,2,1,2,1,0,0,3,0,0,0,0
42,14,7,1,2,1,0,0,3,0,0,0,0
43,14,4,1,2,1,0,0,3,0,0,0,0
44,14,5,1,2,1,0,0,3,0,0,0,0
45,14,13,1,2,1,0,0,3,0,0,0,0
46,14,14,1,2,1,0,0,3,0,0,0,0
47,14,13,1,2,1,0,0,0,0,0,0,0
48,15,17,1,2,1,0,0,0,0,0,0,0
49,15,22,1,2,1,0,0,0,0,0,0,0
50,16,31,1,2,1,0,0,0,0,0,0,0
51,16,31,1,2,1,0,0,0,0,0,0,0
52,17,30,1,2,1,0,0,0,0,0,0,0
53,17,29,1,2,1,0,0,0,0,0,0,0
54,18,28,1,2,1,0,0,0,4,0,0,0
55,18,22,1,2,1,0,0,0,4,0,0,0
56,20,20,1,2,1,0,0,4,0,0,0,0
57,20,19,1,2,1,0,0,4,0,0,0,0
58,20,18,1,2,1,0,0,4,0,0,0,0
59,20,16,1,2,1,0,0,4,0,0,0,0
60,20,14,1,2,1,0,0,4,0,0,0,0
61,19,12,1,2,1,0,0,4,0,0,0,0
62,19,14,1,2,1,0,0,4,0,0,0,0
63,20,16,1,2,1,0,0,4,0,0,0,0
64,20,21,1,2,1,0,0,0,0,0,0,0
65,21,25,1,2,1,0,0,0,0,0,0,0
66,21,24,1,2,1,0,0,0,0,0,0,0
67,22,28,1,2,1,0,0,0,0,2,0,0
68,22,27,1,2,1,0,0,0,0,2,2,0
69,22,16,1,2,1,0,0,0,0,2,2,0
70,23,13,1,2,1,0,0,0,0,2,2,0
71,24,1,1,2,1,0,0,0,0,0,2,0
72,24,5,1,2,1,0,0,0,0,0,2,0
73,23,5,1,2,1,0,0,0,0,0,2,0
74,23,5,1,2,1,0,0,0,0,0,2,0
75,24,13,1,2,1,0,0,0,0,0,2,0
76,24,18,1,2,1,0,0,0,0,0,0,0
77,24,16,1,2,1,0,0,0,5,0,0,0
78,24,17,1,2,1,0,0,0,5,0,0,0
79,24,16,1,2,1,0,0,0,5,0,0,0
80,25,17,1,3,1,0,0,5,0,0,0,0
81,25,16,1,3,1,0,0,5,0,0,0,0
82,25,16,1,3,1,0,0,5,0,0,0,0
83,26,16,1,3,1,0,0,0,0,0,0,0
84,26,27,1,3,1,0,0,0,0,0,0,0
85,27,28,1,3,1,0,0,0,0,0,0,0
86,27,33,1,3,1,0,0,0,0,0,0,0
87,28,31,1,3,1,0,0,0,0,0,0,0
88,29,30,1,3,1,0,0,0,0,0,0,0
89,29,21,1,3,1,0,0,0,0,0,0,0
90,31,15,1,3,1,0,0,0,0,0,0,0
91,31,14,1,3,1,0,0,0,0,0,0,0
92,30,12,1,3,1,0,0,0,0,0,0,0
93,30,23,1,3,1,0,0,0,0,0,0,0
94,31,33,1,3,1,0,0,0,0,0,0,0
95,32,43,1,3,1,0,0,0,0,0,0,0
96,33,46,1,3,1,0,0,0,0,0,0,0
97,33,45,1,3,1,0,0,0,0,0,0,0
98,34,44,1,3,1,0,0,0,0,0,0,0
99,35,43,1,3,1,0,0,0,0,0,0,0
100,36,37,1,3,1,0,0,0,0,0,0,0
101,36,28,1,3,1,0,0,0,0,0,0,0
102,37,27,1,3,1,0,0,0,0,0,0,0
103,37,27,1,3,1,0,0,0,0,0,0,0
104,39,33,1,3,1,0,0,0,0,0,0,0
105,39,1,1,3,1,0,0,0,0,0,0,0
106,39,8,1,3,1,0,0,0,0,0,0,0
107,39,1,1,3,1,0,0,0,0,0,0,0
108,39,7,1,3,1,0,0,0,0,0,0,0
109,39,15,1,3,1,0,0,0,0,0,0,0
110,39,23,1,3,1,0,0,0,0,0,0,0
111,40,31,1,3,1,0,0,0,0,0,0,0
112,40,40,1,3,1,0,0,0,0,0,0,0
113,41,41,1,3,1,0,0,0,0,3,0,0
114,41,4,1,3,1,0,0,0,0,3,3,0
115,41,4,1,3,1,0,0,0,0,3,3,0
116,42,15,1,3,1,0,0,0,0,3,3,0
117,42,26,1,3,1,0,0,0,0,3,3,0
118,42,36,1,3,1,0,0,0,0,0,0,0
119,43,35,1,3,1,0,0,0,0,0,0,0
120,44,33,1,3,1,0,0,0,0,0,0,0
121,44,32,1,3,1,0,0,0,0,0,0,0
122,45,31,1,3,1,0,0,0,0,0,0,0
123,46,30,1,3,1,0,0,0,0,0,0,0
124,46,29,1,3,1,0,0,0,0,0,0,0
125,47,28,1,3,1,0,0,0,0,0,0,0
126,47,30,1,3,1,0,0,0,0,0,0,0
127,48,28,1,3,1,0,0,0,0,0,0,0
128,48,27,1,3,1,0,0,0,6,0,0,0
129,48,26,1,3,1,0,0,0,6,0,0,0
130,53,24,2,1,1,0,0,6,0,0,0,0
131,53,22,2,1,1,0,0,0,0,0,0,0
132,53,1,2,1,1,0,0,0,0,0,0,0
133,53,0,2,1,1,0,0,0,0,0,0,0
134,53,8,2,1,1,0,0,0,0,0,0,0
135,54,16,2,1,1,0,0,0,0,0,0,0
136,54,26,2,1,1,0,0,0,0,0,0,0
137,55,27,2,1,1,0,0,0,0,0,0,0
138,55,26,2,1,1,0,0,0,0,0,0,0
139,56,28,2,1,1,0,0,0,0,0,0,0
140,56,27,2,1,1,0,0,0,0,0,0,0
141,57,26,2,1,1,0,0,0,0,0,0,0
142,57,25,2,1,1,0,0,0,0,4,4,0
143,57,7,2,1,2,0,0,0,0,4,4,0
144,57,6,2,1,2,0,0,0,0,4,4,0
145,58,17,2,1,2,0,0,0,0,4,4,0
146,58,25,2,1,2,0,0,0,7,0,0,0
147,59,23,2,1,2,0,0,7,7,0,0,0
148,59,22,2,1,2,0,0,7,0,0,0,0
149,59,21,2,1,2,0,0,7,0,0,0,0
150,59,19,2,1,2,0,0,7,0,0,0,0
151,60,21,2,1,2,0,0,0,0,0,0,0
152,60,22,2,1,2,0,0,0,0,0,0,0
153,61,24,2,1,2,0,0,0,0,0,0,0
154,61,30,2,1,2,0,0,0,0,0,0,0
155,62,30,2,1,2,0,0,0,0,0,0,0
156,62,28,2,1,2,0,0,0,0,0,0,0
157,63,22,2,2,2,0,0,0,8,0,0,0
158,63,18,2,2,2,0,0,0,8,0,0,0
159,64,17,2,2,2,0,0,8,0,0,0,0
160,64,15,2,2,2,0,0,8,0,0,0,0
161,64,13,2,2,2,0,0,8,0,0,0,0
162,64,12,2,2,2,0,0,8,0,0,0,0
163,64,11,2,2,2,0,0,8,0,0,0,0
164,64,13,2,2,2,0,0,0,0,0,0,0
165,65,23,2,2,2,0,0,0,0,0,0,0
166,65,26,2,2,2,0,0,0,0,0,0,0
167,66,29,2,2,2,0,0,0,0,0,0,0
168,66,28,2,2,2,0,0,0,0,0,0,0
169,67,33,2,2,2,0,0,0,0,0,0,0
170,67,22,2,2,3,0,0,0,0,0,0,0
171,68,18,2,2,3,0,0,0,9,0,0,0
172,68,17,2,2,3,0,0,0,9,0,0,0
173,68,0,2,2,4,0,0,0,9,0,0,0
174,68,0,2,2,4,0,0,0,9,0,0,0
175,68,0,2,2,4,0,0,0,9,0,0,0
176,68,0,2,2,4,0,0,0,9,0,0,0
177,68,4,2,2,4,0,0,0,9,0,0,0
178,68,14,2,2,4,0,0,0,9,0,0,0
179,70,22,2,2,4,0,0,9,0,0,0,0
180,70,23,2,2,4,0,0,9,0,0,0,0
181,70,20,2,2,4,0,0,9,0,0,0,0
182,70,17,2,2,4,0,0,9,0,0,0,0
183,69,15,2,2,4,0,0,9,0,0,0,0
184,69,14,2,2,4,0,0,9,0,0,0,0
185,70,13,2,2,4,0,0,9,0,0,0,0
186,70,16,2,2,4,0,0,0,0,0,0,0
187,71,26,2,2,4,0,0,0,0,0,0,0
188,71,25,2,2,4,0,0,0,0,0,0,0
189,72,24,2,2,4,0,0,0,0,0,0,0
190,72,23,2,2,4,0,0,0,0,5,5,0
191,72,22,2,2,4,0,0,0,0,5,5,0
192,72,5,2,2,5,0,0,0,0,5,5,0
193,72,2,2,2,5,0,0,0,0,5,5,0
194,72,12,2,2,5,0,0,0,0,5,5,0
195,73,22,2,2,5,0,0,0,0,0,0,0
196,74,22,2,2,5,0,0,0,10,0,0,0
197,74,21,2,2,5,0,0,0,10,0,0,0
198,74,18,2,3,5,0,0,10,10,0,0,0
199,75,15,2,3,5,0,0,10,0,0,0,0
200,75,14,2,3,5,0,0,10,0,0,0,0
201,75,13,2,3,5,0,0,10,0,0,0,0
202,76,12,2,3,5,0,0,0,0,0,0,0
203,76,14,2,3,5,0,0,0,0,0,0,0
204,77,24,2,3,5,0,0,0,0,0,0,0
205,77,30,2,3,5,0,0,0,0,0,0,0
206,78,29,2,3,5,0,0,0,0,0,0,0
207,78,28,2,3,5,0,0,0,0,0,0,0
