Time(seconds),Distance(percent),Lap,Speed(Km/hr),Brake Times,Map Crashed,Car Crashed,Person Crashed,All Circus,All Crosswalk,Passed Case Circus,Passed Case Crosswalk,Car Overturned,Zone's Speed Limited,Is Braked
0,0,1,13,0,0,0,0,0,0,0,0,0,0,FALSE
1,0,1,22,0,0,0,0,0,0,0,0,0,0,FALSE
2,0,1,30,0,0,0,0,0,0,0,0,0,0,FALSE
3,1,1,31,0,0,0,0,0,0,0,0,0,0,FALSE
4,2,1,28,0,0,0,0,0,0,0,0,0,0,FALSE
5,2,1,25,0,0,0,0,0,0,0,0,0,0,FALSE
6,2,1,20,0,0,0,0,0,0,0,0,0,0,FALSE
7,2,1,18,0,0,0,0,0,0,0,0,0,0,FALSE
8,3,1,26,0,0,0,0,1,0,1,0,0,0,FALSE
9,4,1,34,0,0,0,0,1,0,1,0,0,0,FALSE
10,4,1,42,0,0,0,0,1,0,1,0,0,0,FALSE
11,5,1,49,0,0,0,0,1,0,1,0,0,0,FALSE
12,6,1,46,0,0,0,0,1,0,1,0,0,0,FALSE
13,7,1,46,0,0,0,0,1,0,1,0,0,0,FALSE
14,8,1,44,0,0,0,0,1,0,1,0,0,0,FALSE
15,9,1,40,0,0,0,0,1,0,1,0,0,0,FALSE
16,9,1,32,0,0,0,0,1,0,1,0,0,0,FALSE
17,10,1,27,0,0,0,0,2,0,2,0,0,0,FALSE
18,10,1,24,0,0,0,0,2,0,2,0,0,0,FALSE
19,11,1,32,0,0,0,0,2,0,2,0,0,0,FALSE
20,11,1,33,0,0,0,0,2,0,2,0,0,0,FALSE
21,12,1,38,0,0,0,0,2,0,2,0,0,0,FALSE
22,13,2,37,0,0,0,0,2,0,2,0,0,0,FALSE
23,14,2,33,0,0,0,0,2,0,2,0,0,0,FALSE
24,14,2,25,0,0,0,0,2,0,2,0,0,0,FALSE
25,15,2,21,0,0,0,0,3,0,3,0,0,0,FALSE
26,15,2,20,0,0,0,0,3,0,3,0,0,0,FALSE
27,15,2,28,0,0,0,0,3,0,3,0,0,0,FALSE
28,16,2,37,0,0,0,0,3,0,3,0,0,0,FALSE
29,17,2,41,0,0,0,0,3,0,3,0,0,0,FALSE
30,18,2,40,0,0,0,0,3,0,3,0,0,0,FALSE
31,18,2,37,0,0,0,0,3,0,3,0,0,0,FALSE
32,20,2,31,0,0,0,0,3,0,3,0,0,0,FALSE
33,21,2,27,0,0,0,0,3,0,3,0,0,0,FALSE
34,20,2,20,0,0,0,0,4,0,4,0,0,0,FALSE
35,21,2,17,0,0,0,0,4,0,4,0,0,0,FALSE
36,21,2,24,0,0,0,0,4,0,4,0,0,0,FALSE
37,22,2,32,0,0,0,0,4,0,4,0,0,0,FALSE
38,22,2,36,0,0,0,0,4,0,4,0,0,0,FALSE
39,22,2,33,0,0,0,0,4,0,4,0,0,0,FALSE
40,23,2,30,0,0,0,0,4,0,4,0,0,0,FALSE
41,24,2,0,0,1,0,0,4,0,4,0,0,0,FALSE
42,24,2,4,0,1,0,0,4,0,4,0,0,0,FALSE
43,23,2,3,0,1,0,0,4,0,4,0,0,0,FALSE
44,24,2,5,0,1,0,0,4,0,4,0,0,0,FALSE
45,24,2,14,0,1,0,0,4,0,4,0,0,0,FALSE
46,24,2,23,0,1,0,0,4,0,4,0,0,0,FALSE
47,25,3,27,0,1,0,0,4,0,4,0,0,0,FALSE
48,25,3,29,0,1,0,0,4,0,4,0,0,0,FALSE
49,26,3,29,0,1,0,0,5,0,5,0,0,0,FALSE
50,27,3,36,0,1,0,0,5,0,5,0,0,0,FALSE
51,27,3,26,0,2,0,0,5,0,5,0,0,0,FALSE
52,28,3,20,0,2,0,0,5,0,5,0,0,0,FALSE
53,28,3,17,0,2,0,0,5,0,5,0,0,0,FALSE
54,29,3,21,0,2,0,0,5,0,5,0,0,0,FALSE
55,29,3,23,0,2,0,0,5,0,5,0,0,0,FALSE
56,30,3,22,0,2,0,0,5,0,5,0,0,0,FALSE
57,30,3,16,0,2,0,0,5,0,5,0,0,0,FALSE
58,30,3,21,0,2,0,0,5,0,5,0,0,0,FALSE
59,31,3,27,0,2,0,0,5,0,5,0,0,0,FALSE
60,31,3,26,0,2,0,0,5,0,5,0,0,0,FALSE
61,32,3,34,0,2,0,0,5,0,5,0,0,0,FALSE
62,33,3,42,0,2,0,0,5,0,5,0,0,0,FALSE
63,33,3,50,0,2,0,0,5,0,5,0,0,0,FALSE
64,34,3,51,0,2,0,0,5,0,5,0,0,0,FALSE
65,35,3,48,0,2,0,0,5,0,5,0,0,0,FALSE
66,36,3,45,0,2,0,0,5,0,5,0,0,0,FALSE
67,37,3,35,0,2,0,0,5,0,5,0,0,0,FALSE
68,37,3,26,0,2,0,0,5,0,5,0,0,0,FALSE
69,39,3,19,0,2,0,0,5,0,5,0,0,0,FALSE
70,38,3,18,0,2,0,0,5,0,5,0,0,0,FALSE
71,38,3,17,0,2,0,0,5,0,5,0,0,0,FALSE
72,39,3,20,0,2,0,0,5,0,5,0,0,0,FALSE
73,39,3,28,0,2,0,0,5,0,5,0,0,0,FALSE
74,40,3,36,0,2,0,0,5,0,5,0,0,0,FALSE
75,41,3,41,0,2,0,0,5,0,5,0,0,0,FALSE
76,42,3,38,0,2,0,0,5,0,5,0,0,0,FALSE
77,42,3,35,0,2,0,0,5,0,5,0,0,0,FALSE
78,43,3,33,0,2,0,0,5,0,5,0,0,0,FALSE
79,44,3,37,0,2,0,0,5,0,5,0,0,0,FALSE
80,44,3,45,0,2,0,0,5,0,5,0,0,0,FALSE
81,45,3,53,0,2,0,0,5,0,5,0,0,0,FALSE
82,46,3,51,0,2,0,0,5,0,5,0,0,0,FALSE
83,47,3,48,0,2,0,0,5,0,5,0,0,0,FALSE
84,48,3,40,0,2,0,0,5,0,5,0,0,0,FALSE
85,48,3,30,0,2,0,0,5,0,5,0,0,0,FALSE
86,53,1,23,0,2,0,0,5,0,5,0,0,0,FALSE
87,53,1,19,0,2,0,0,5,0,5,0,0,0,FALSE
88,53,1,24,0,2,0,0,6,0,6,0,0,0,FALSE
89,54,1,33,0,2,0,0,6,0,6,0,0,0,FALSE
90,54,1,41,0,2,0,0,6,0,6,0,0,0,FALSE
91,55,1,49,0,2,0,0,6,0,6,0,0,0,FALSE
92,56,1,46,0,2,0,0,6,0,6,0,0,0,FALSE
93,57,1,44,0,2,0,0,6,0,6,0,0,0,FALSE
94,58,1,35,0,2,0,0,6,0,6,0,0,0,FALSE
95,59,1,25,0,2,0,0,6,0,6,0,0,0,FALSE
96,59,1,20,0,2,0,0,6,0,6,0,0,0,FALSE
97,59,1,16,0,2,0,0,6,0,6,0,0,0,FALSE
98,59,1,17,0,2,0,0,6,0,6,0,0,0,FALSE
99,59,1,21,0,2,0,0,6,0,6,0,0,0,FALSE
100,60,1,29,0,2,0,0,7,0,7,0,0,0,FALSE
101,61,1,37,0,2,0,0,7,0,7,0,0,0,FALSE
102,61,1,45,0,2,0,0,7,0,7,0,0,0,FALSE
103,62,1,45,0,2,0,0,7,0,7,0,0,0,FALSE
104,63,2,34,0,2,0,0,7,0,7,0,0,0,FALSE
105,64,2,24,0,2,0,0,7,0,7,0,0,0,FALSE
106,64,2,24,0,2,0,0,7,0,7,0,0,0,FALSE
107,65,2,33,0,2,0,0,8,0,8,0,0,0,FALSE
