Time,Distance,Speed,Lap,Sector,Brake Times,Map Crashed,Car Crashed,Passed Circus,Circus entry,Passed Crosswalk,Crosswalk entry,Car Overturned
0,0,12,1,1,0,0,0,0,0,0,0,0
1,0,20,1,1,0,0,0,0,0,0,0,0
2,0,28,1,1,0,0,0,0,0,0,0,0
3,1,30,1,1,1,0,0,0,0,0,0,0
4,1,24,1,1,1,0,0,0,1,0,0,0
5,2,1,1,1,2,0,0,0,1,0,0,0
6,2,0,1,1,2,0,0,0,1,0,0,0
7,2,0,1,1,2,0,0,0,1,0,0,0
8,2,8,1,1,2,0,0,0,1,0,0,0
9,2,16,1,1,2,0,0,1,1,0,0,0
10,2,23,1,1,2,0,0,1,0,0,0,0
11,3,32,1,1,2,0,0,1,0,0,0,0
12,3,18,1,1,3,0,0,0,0,0,0,0
13,4,24,1,1,3,0,0,0,0,0,0,0
14,4,37,1,1,3,0,0,0,0,0,0,0
15,5,50,1,1,3,0,0,0,0,0,0,0
16,6,59,1,1,3,0,0,0,0,0,0,0
17,7,36,1,1,5,0,0,0,0,1,1,0
18,8,25,1,1,7,0,0,0,0,1,1,0
19,8,32,1,1,7,0,0,0,2,0,0,0
20,9,32,1,1,7,0,0,2,0,0,0,0
21,9,30,1,1,7,0,0,2,0,0,0,0
22,10,42,1,1,7,0,0,2,0,0,0,0
23,11,52,1,1,7,0,0,0,0,0,0,0
24,12,54,1,1,7,0,0,0,0,0,0,0
25,13,33,1,1,8,0,0,0,3,0,0,0
26,13,10,1,2,8,0,0,0,3,0,0,0
27,13,0,1,2,8,0,0,0,3,0,0,0
28,13,6,1,2,8,0,0,0,3,0,0,0
29,13,13,1,2,8,0,0,3,3,0,0,0
30,14,21,1,2,8,0,0,3,0,0,0,0
31,14,26,1,2,8,0,0,3,0,0,0,0
32,14,19,1,2,8,1,0,3,0,0,0,0
33,14,29,1,2,8,1,0,0,0,0,0,0
34,15,38,1,2,8,1,0,0,0,0,0,0
35,16,47,1,2,8,1,0,0,0,0,0,0
36,17,55,1,2,8,1,0,0,0,0,0,0
37,18,39,1,2,9,1,0,0,0,0,0,0
38,18,21,1,2,10,1,0,0,4,0,0,0
39,20,17,1,2,10,1,0,4,4,0,0,0
40,20,22,1,2,10,1,0,4,0,0,0,0
41,20,19,1,2,10,1,0,4,0,0,0,0
42,20,20,1,2,10,1,0,4,0,0,0,0
43,19,18,1,2,10,1,0,4,0,0,0,0
44,20,31,1,2,10,1,0,4,0,0,0,0
45,21,40,1,2,10,1,0,0,0,0,0,0
46,21,51,1,2,10,1,0,0,0,0,0,0
47,22,54,1,2,10,1,0,0,0,2,2,0
48,23,40,1,2,11,1,0,0,0,0,0,0
49,24,22,1,2,12,1,0,0,5,0,0,0
50,24,28,1,3,12,1,0,0,5,0,0,0
51,25,26,1,3,12,1,0,5,0,0,0,0
52,26,30,1,3,12,1,0,5,0,0,0,0
53,27,42,1,3,12,1,0,0,0,0,0,0
54,27,55,1,3,12,1,0,0,0,0,0,0
55,28,46,1,3,13,1,0,0,0,0,0,0
56,29,21,1,3,13,1,0,0,0,0,0,0
57,30,20,1,3,13,1,0,0,0,0,0,0
58,30,0,1,3,13,3,0,0,0,0,0,0
59,30,0,1,3,13,3,0,0,0,0,0,0
60,30,0,1,3,13,3,0,0,0,0,0,0
61,30,0,1,3,13,3,0,0,0,0,0,0
62,30,0,1,3,13,3,0,0,0,0,0,0
63,30,0,1,3,13,3,0,0,0,0,0,0
64,30,0,1,3,13,3,0,0,0,0,0,0
65,30,0,1,3,13,3,0,0,0,0,0,0
66,30,0,1,3,13,3,0,0,0,0,0,0
67,30,0,1,3,13,3,0,0,0,0,0,0
68,30,0,1,3,13,3,0,0,0,0,0,0
69,30,0,1,3,13,3,0,0,0,0,0,0
70,30,0,1,3,13,3,0,0,0,0,0,0
71,30,0,1,3,13,3,0,0,0,0,0,0
72,30,0,1,3,13,3,0,0,0,0,0,0
73,30,0,1,3,13,3,0,0,0,0,0,0
74,30,0,1,3,13,4,0,0,0,0,0,0
75,30,0,1,3,13,4,0,0,0,0,0,0
76,30,0,1,3,13,4,0,0,0,0,0,0
77,30,0,1,3,13,4,0,0,0,0,0,0
78,30,0,1,3,13,4,0,0,0,0,0,0
79,30,0,1,3,13,4,0,0,0,0,0,0
80,30,0,1,3,13,4,0,0,0,0,0,0
81,30,0,1,3,14,4,0,0,0,0,0,0
82,30,1,1,3,14,4,0,0,0,0,0,0
83,30,7,1,3,14,4,0,0,0,0,0,0
84,30,15,1,3,14,4,0,0,0,0,0,0
85,30,22,1,3,14,4,0,0,0,0,0,0
86,31,30,1,3,14,4,0,0,0,0,0,0
87,32,37,1,3,14,4,0,0,0,0,0,0
88,32,45,1,3,14,4,0,0,0,0,0,0
89,33,52,1,3,14,4,0,0,0,0,0,0
90,34,59,1,3,14,4,0,0,0,0,0,0
91,35,65,1,3,15,4,0,0,0,0,0,0
92,37,43,1,3,20,4,0,0,0,0,0,0
93,37,27,1,3,22,4,0,0,0,0,0,0
