Time,Distance,Speed,Lap,Sector,Brake Times,Map Crashed,Car Crashed,Passed Circus,Circus entry,Passed Crosswalk,Crosswalk entry,Car Overturned
0,0,10,1,1,0,0,0,0,0,0,0,0
1,0,16,1,1,0,0,0,0,0,0,0,0
2,0,21,1,1,0,0,0,0,0,0,0,0
3,1,19,1,1,0,0,0,0,0,0,0,0
4,1,17,1,1,0,1,0,0,0,0,0,0
5,1,15,1,1,0,1,0,0,1,0,0,0
6,1,13,1,1,0,1,0,0,1,0,0,0
7,2,1,1,1,0,1,0,0,1,0,0,0
8,2,0,1,1,1,1,0,0,1,0,0,0
9,2,6,1,1,1,1,0,0,1,0,0,0
10,2,13,1,1,1,1,0,0,1,0,0,0
11,2,11,1,1,1,1,0,1,0,0,0,0
12,2,17,1,1,1,1,0,1,0,0,0,0
13,3,17,1,1,1,1,0,1,0,0,0,0
14,3,23,1,1,1,1,0,0,0,0,0,0
15,4,30,1,1,1,1,0,0,0,0,0,0
16,4,30,1,1,1,1,0,0,0,0,0,0
17,5,30,1,1,1,1,0,0,0,0,0,0
18,5,31,1,1,1,1,0,0,0,0,0,0
19,6,30,1,1,1,1,0,0,0,0,0,0
20,6,28,1,1,1,1,0,0,0,0,0,0
21,7,26,1,1,1,1,0,0,0,1,1,0
22,7,24,1,1,1,1,0,0,0,1,1,0
23,8,6,1,1,2,1,0,0,0,1,1,0
24,8,1,1,1,2,1,0,0,2,1,1,0
25,8,9,1,1,2,1,0,0,2,1,1,0
26,8,17,1,1,2,1,0,0,2,1,1,0
27,8,20,1,1,2,1,0,2,2,0,0,0
28,9,18,1,1,2,1,0,2,0,0,0,0
29,9,16,1,1,2,1,0,2,0,0,0,0
30,9,14,1,1,2,1,0,2,0,0,0,0
31,9,12,1,1,2,1,0,2,0,0,0,0
32,10,16,1,1,2,1,0,2,0,0,0,0
33,10,19,1,1,2,1,0,0,0,0,0,0
34,10,19,1,1,2,1,0,0,0,0,0,0
35,11,21,1,1,2,1,0,0,0,0,0,0
36,11,22,1,1,2,1,0,0,0,0,0,0
37,12,22,1,1,2,1,0,0,0,0,0,0
38,12,20,1,1,2,1,0,0,0,0,0,0
39,12,20,1,1,2,1,0,0,0,0,0,0
40,13,18,1,2,2,1,0,0,3,0,0,0
41,13,17,1,2,2,1,0,0,3,0,0,0
