Time,Distance,Speed,Lap,Sector,Brake Times,Map Crashed,Car Crashed,Passed Circus,Circus entry,Passed Crosswalk,Crosswalk entry,Car Overturned
0,0,11,1,1,0,0,0,0,0,0,0,0
1,0,17,1,1,0,0,0,0,0,0,0,0
2,0,26,1,1,0,0,0,0,0,0,0,0
3,1,27,1,1,0,0,0,0,0,0,0,0
4,1,19,1,1,1,0,0,0,1,0,0,0
5,2,12,1,1,3,0,0,0,1,0,0,0
6,2,3,1,1,4,0,0,0,1,0,0,0
7,2,0,1,1,5,0,0,0,1,0,0,0
8,2,9,1,1,5,0,0,0,1,0,0,0
9,2,11,1,1,5,0,0,1,1,0,0,0
10,2,15,1,1,5,0,0,1,0,0,0,0
11,2,19,1,1,5,0,0,1,0,0,0,0
12,3,24,1,1,5,0,0,0,0,0,0,0
13,3,29,1,1,5,0,0,0,0,0,0,0
14,4,34,1,1,5,0,0,0,0,0,0,0
15,5,35,1,1,5,0,0,0,0,0,0,0
16,5,34,1,1,5,0,0,0,0,0,0,0
17,6,34,1,1,5,0,0,0,0,0,0,0
18,7,33,1,1,5,0,0,0,0,1,0,0
19,7,24,1,1,6,0,0,0,0,1,1,0
20,8,16,1,1,8,0,0,0,0,1,1,0
21,8,0,1,1,8,0,0,0,0,1,1,0
22,8,0,1,1,8,0,0,0,0,1,1,0
23,8,8,1,1,8,0,0,0,0,1,1,0
24,8,16,1,1,8,0,0,0,2,1,1,0
25,8,20,1,1,8,0,0,0,2,0,0,0
26,9,19,1,1,8,0,0,2,0,0,0,0
27,9,18,1,1,8,0,0,2,0,0,0,0
28,9,19,1,1,8,0,0,2,0,0,0,0
29,9,27,1,1,8,0,0,2,0,0,0,0
30,10,28,1,1,8,0,0,0,0,0,0,0
31,11,31,1,1,8,0,0,0,0,0,0,0
32,11,33,1,1,8,0,0,0,0,0,0,0
33,12,33,1,1,8,0,0,0,0,0,0,0
34,12,27,1,1,9,0,0,0,0,0,0,0
35,13,23,1,2,10,0,0,0,3,0,0,0
36,13,18,1,2,10,0,0,0,3,0,0,0
37,14,16,1,2,10,0,0,3,0,0,0,0
38,14,15,1,2,10,0,0,3,0,0,0,0
39,14,13,1,2,10,0,0,3,0,0,0,0
40,14,0,1,2,10,0,0,3,0,0,0,0
41,14,4,1,2,11,0,0,3,0,0,0,0
42,14,7,1,2,11,0,0,3,0,0,0,0
43,14,0,1,2,11,0,2,3,0,0,0,0
44,14,0,1,2,11,0,2,3,0,0,0,0
45,14,7,1,2,11,0,2,3,0,0,0,0
46,14,0,1,2,11,0,2,3,0,0,0,0
47,14,0,1,2,11,0,2,3,0,0,0,0
48,14,9,1,2,11,0,2,3,0,0,0,0
49,14,12,1,2,11,0,2,3,0,0,0,0
50,14,17,1,2,11,0,2,0,0,0,0,0
51,15,25,1,2,11,0,2,0,0,0,0,0
52,16,28,1,2,11,0,2,0,0,0,0,0
53,16,34,1,2,11,0,2,0,0,0,0,0
54,17,38,1,2,11,0,2,0,0,0,0,0
55,17,36,1,2,11,0,2,0,0,0,0,0
56,18,23,1,2,13,0,2,0,4,0,0,0
57,18,19,1,2,13,0,2,0,4,0,0,0
58,20,22,1,2,13,0,2,4,0,0,0,0
59,20,22,1,2,13,0,2,4,0,0,0,0
60,20,19,1,2,13,0,2,4,0,0,0,0
61,20,19,1,2,13,0,2,4,0,0,0,0
62,20,27,1,2,13,0,2,4,0,0,0,0
63,20,29,1,2,13,0,2,0,0,0,0,0
64,21,32,1,2,13,0,2,0,0,0,0,0
65,22,31,1,2,13,0,2,0,0,0,0,0
66,22,30,1,2,13,0,2,0,0,2,2,0
67,22,17,1,2,15,0,2,0,0,2,2,0
68,22,0,1,2,15,0,2,0,0,2,2,0
69,22,2,1,2,15,0,2,0,0,2,2,0
70,22,10,1,2,15,0,2,0,0,2,2,0
71,23,21,1,2,15,0,2,0,0,2,2,0
72,24,23,1,2,15,0,2,0,0,0,0,0
73,24,21,1,2,15,0,2,0,5,0,0,0
74,24,20,1,2,15,0,2,0,5,0,0,0
75,25,19,1,3,15,0,2,5,0,0,0,0
76,25,18,1,3,15,0,2,5,0,0,0,0
77,26,18,1,3,15,0,2,5,0,0,0,0
78,26,28,1,3,15,0,2,0,0,0,0,0
79,27,33,1,3,15,0,2,0,0,0,0,0
80,28,36,1,3,15,0,2,0,0,0,0,0
81,28,37,1,3,15,0,2,0,0,0,0,0
82,29,25,1,3,17,0,2,0,0,0,0,0
83,29,23,1,3,17,0,2,0,0,0,0,0
84,30,21,1,3,17,0,2,0,0,0,0,0
85,30,21,1,3,17,0,2,0,0,0,0,0
86,31,32,1,3,17,0,2,0,0,0,0,0
87,31,38,1,3,17,0,2,0,0,0,0,0
88,32,37,1,3,17,0,2,0,0,0,0,0
89,33,39,1,3,17,0,2,0,0,0,0,0
90,34,43,1,3,17,0,2,0,0,0,0,0
91,35,44,1,3,17,0,2,0,0,0,0,0
92,35,45,1,3,17,0,2,0,0,0,0,0
93,36,45,1,3,18,0,2,0,0,0,0,0
94,37,27,1,3,20,0,2,0,0,0,0,0
95,37,19,1,3,20,0,2,0,0,0,0,0
96,39,19,1,3,20,0,2,0,0,0,0,0
97,39,16,1,3,20,0,2,0,0,0,0,0
98,39,22,1,3,20,0,2,0,0,0,0,0
99,39,25,1,3,20,0,2,0,0,0,0,0
100,39,32,1,3,20,0,2,0,0,0,0,0
101,40,36,1,3,20,0,2,0,0,0,0,0
102,41,35,1,3,20,0,2,0,0,0,0,0
103,41,24,1,3,22,0,2,0,0,3,3,0
104,42,19,1,3,23,0,2,0,0,3,3,0
105,42,0,1,3,23,0,2,0,0,3,3,0
106,42,0,1,3,23,0,2,0,0,3,3,0
107,42,6,1,3,23,0,2,0,0,3,3,0
108,42,14,1,3,23,0,2,0,0,3,3,0
109,42,22,1,3,23,0,2,0,0,0,0,0
110,43,30,1,3,23,0,2,0,0,0,0,0
111,44,39,1,3,23,0,2,0,0,0,0,0
112,44,38,1,3,23,0,2,0,0,0,0,0
113,45,40,1,3,23,0,2,0,0,0,0,0
114,46,43,1,3,23,0,2,0,0,0,0,0
115,47,43,1,3,23,0,2,0,0,0,0,0
116,47,38,1,3,23,0,2,0,0,0,0,0
117,48,24,1,3,24,0,2,0,0,0,0,0
118,48,20,1,3,25,0,2,0,6,0,0,0
119,49,13,1,3,25,0,2,0,6,0,0,0
120,53,3,2,1,26,0,2,6,6,0,0,0
121,53,6,2,1,26,0,2,0,6,0,0,0
122,53,4,2,1,26,0,2,0,6,0,0,0
123,53,0,2,1,27,0,2,0,6,0,0,0
124,53,3,2,1,27,0,2,0,6,0,0,0
125,53,9,2,1,27,0,2,0,6,0,0,0
126,53,13,2,1,27,0,2,0,0,0,0,0
127,53,12,2,1,27,0,2,0,0,0,0,0
128,53,10,2,1,27,0,2,0,0,0,0,0
129,53,10,2,1,27,0,2,0,0,0,0,0
130,52,13,2,1,27,0,2,0,0,0,0,0
131,53,19,2,1,27,0,2,0,0,0,0,0
132,53,30,2,1,27,0,2,0,0,0,0,0
133,54,33,2,1,27,0,2,0,0,0,0,0
134,55,36,2,1,27,0,2,0,0,0,0,0
135,55,40,2,1,27,0,2,0,0,0,0,0
136,56,41,2,1,27,0,2,0,0,0,0,0
137,57,44,2,1,27,0,2,0,0,4,4,0
138,58,18,2,1,29,0,2,0,0,4,4,0
139,58,0,2,1,29,0,2,0,0,4,4,0
140,58,0,2,1,29,0,2,0,0,4,4,0
141,58,9,2,1,29,0,2,0,7,4,4,0
142,58,17,2,1,29,0,2,0,7,4,4,0
143,58,18,2,1,29,0,2,0,7,0,0,0
144,59,19,2,1,29,0,2,7,0,0,0,0
145,59,19,2,1,29,0,2,7,0,0,0,0
146,59,20,2,1,29,0,2,7,0,0,0,0
147,59,26,2,1,29,0,2,7,0,0,0,0
148,60,27,2,1,29,0,2,0,0,0,0,0
149,61,31,2,1,29,0,2,0,0,0,0,0
150,61,32,2,1,29,0,2,0,0,0,0,0
151,62,33,2,1,29,0,2,0,0,0,0,0
152,63,31,2,1,30,0,2,0,0,0,0,0
153,63,19,2,2,31,0,2,0,8,0,0,0
154,63,18,2,2,31,0,2,8,8,0,0,0
155,64,17,2,2,31,0,2,8,0,0,0,0
156,64,14,2,2,31,0,2,8,0,0,0,0
157,64,18,2,2,31,0,2,8,0,0,0,0
158,64,26,2,2,31,0,2,0,0,0,0,0
159,65,31,2,2,31,0,2,0,0,0,0,0
160,66,35,2,2,31,0,2,0,0,0,0,0
161,66,38,2,2,31,0,2,0,0,0,0,0
162,67,38,2,2,31,0,2,0,0,0,0,0
163,68,31,2,2,32,0,2,0,0,0,0,0
164,68,23,2,2,33,0,2,0,9,0,0,0
165,70,22,2,2,33,0,2,9,0,0,0,0
166,70,21,2,2,33,0,2,9,0,0,0,0
167,70,20,2,2,33,0,2,9,0,0,0,0
168,70,17,2,2,33,0,2,9,0,0,0,0
169,69,19,2,2,33,0,2,9,0,0,0,0
170,70,24,2,2,33,0,2,9,0,0,0,0
171,70,27,2,2,33,0,2,0,0,0,0,0
172,71,31,2,2,33,0,2,0,0,0,0,0
173,72,34,2,2,33,0,2,0,0,0,0,0
174,72,20,2,2,34,0,2,0,0,5,5,0
175,72,14,2,2,35,0,2,0,0,5,5,0
176,72,0,2,2,36,0,2,0,0,5,5,0
177,72,0,2,2,36,0,2,0,0,5,5,0
178,73,7,2,2,36,0,2,0,0,5,5,0
179,73,18,2,2,36,0,2,0,0,5,5,0
180,73,19,2,2,36,0,2,0,0,0,0,0
181,74,22,2,2,36,0,2,0,10,0,0,0
182,74,21,2,2,36,0,2,0,10,0,0,0
183,75,20,2,3,36,0,2,10,10,0,0,0
184,75,12,2,3,37,0,2,10,0,0,0,0
185,75,15,2,3,37,0,2,10,0,0,0,0
186,76,15,2,3,37,0,2,10,0,0,0,0
187,76,23,2,3,37,0,2,0,0,0,0,0
188,77,31,2,3,37,0,2,0,0,0,0,0
189,77,35,2,3,37,0,2,0,0,0,0,0
190,78,35,2,3,37,0,2,0,0,0,0,0
191,79,27,2,3,38,0,2,0,0,0,0,0
192,79,18,2,3,39,0,2,0,0,0,0,0
193,80,17,2,3,39,0,2,0,0,0,0,0
194,80,17,2,3,39,0,2,0,0,0,0,0
195,80,22,2,3,39,0,2,0,0,0,0,0
196,81,31,2,3,39,0,2,0,0,0,0,0
197,81,39,2,3,39,0,2,0,0,0,0,0
198,82,44,2,3,39,0,2,0,0,0,0,0
199,83,44,2,3,39,0,2,0,0,0,0,0
200,84,44,2,3,39,0,2,0,0,0,0,0
201,85,43,2,3,39,0,2,0,0,0,0,0
202,86,45,2,3,39,0,2,0,0,0,0,0
203,86,38,2,3,40,0,2,0,0,0,0,0
204,87,30,2,3,41,0,2,0,0,0,0,0
205,87,21,2,3,42,0,2,0,0,0,0,0
206,89,18,2,3,42,0,2,0,0,0,0,0
207,89,22,2,3,42,0,2,0,0,0,0,0
208,89,30,2,3,42,0,2,0,0,0,0,0
209,90,30,2,3,42,0,2,0,0,0,0,0
210,90,28,2,3,42,0,2,0,0,0,0,0
211,91,28,2,3,42,0,2,0,0,0,0,0
212,91,26,2,3,42,0,2,0,0,6,6,0
213,92,6,2,3,44,0,2,0,0,6,6,0
214,92,1,2,3,45,0,2,0,0,6,6,0
215,92,9,2,3,45,0,2,0,0,6,6,0
216,92,20,2,3,45,0,2,0,0,6,6,0
217,93,30,2,3,45,0,2,0,0,0,0,0
218,93,37,2,3,45,0,2,0,0,0,0,0
219,94,42,2,3,45,0,2,0,0,0,0,0
220,95,43,2,3,45,0,2,0,0,0,0,0
221,96,45,2,3,45,0,2,0,0,0,0,0
222,97,48,2,3,45,0,2,0,0,0,0,0
223,97,41,2,3,46,0,2,0,0,0,0,0
224,98,26,2,3,48,0,2,0,0,0,0,0
225,98,24,2,3,49,0,2,0,11,0,0,0
226,98,6,2,3,49,0,2,0,11,0,0,0
227,98,5,2,3,49,0,2,0,11,0,0,0
228,99,12,2,3,49,0,2,0,11,0,0,0
229,100,11,2,3,49,0,2,0,0,0,0,0
