Time,Distance,Speed,Lap,Sector,Brake Times,Map Crashed,Car Crashed,Passed Circus,Circus entry,Passed Crosswalk,Crosswalk entry,Car Overturned
0,0,12,1,1,0,0,0,0,0,0,0,0
1,0,20,1,1,0,0,0,0,0,0,0,0
2,0,28,1,1,0,0,0,0,0,0,0,0
3,1,14,1,1,1,0,0,0,0,0,0,0
4,1,20,1,1,1,0,0,0,0,0,0,0
5,1,5,1,1,2,0,0,0,1,0,0,0
6,1,6,1,1,2,0,0,0,1,0,0,0
7,2,2,1,1,5,0,0,0,1,0,0,0
8,2,10,1,1,5,0,0,0,1,0,0,0
9,2,19,1,1,5,0,0,1,1,0,0,0
10,2,17,1,1,5,0,0,1,0,0,0,0
11,2,17,1,1,5,0,0,1,0,0,0,0
12,3,24,1,1,5,0,0,0,0,0,0,0
13,3,25,1,1,5,0,0,0,0,0,0,0
14,4,26,1,1,5,0,0,0,0,0,0,0
15,4,36,1,1,5,0,0,0,0,0,0,0
16,5,46,1,1,5,0,0,0,0,0,0,0
17,6,43,1,1,5,0,0,0,0,0,0,0
18,7,41,1,1,5,0,0,0,0,1,1,0
19,8,19,1,1,6,0,0,0,0,1,1,0
20,8,0,1,1,6,0,0,0,0,1,1,0
21,8,6,1,1,6,0,0,0,0,1,1,0
22,8,14,1,1,6,0,0,0,2,1,1,0
23,8,23,1,1,6,0,0,0,2,0,0,0
24,9,31,1,1,6,0,0,2,0,0,0,0
25,9,26,1,1,6,0,0,2,0,0,0,0
26,9,29,1,1,6,0,0,2,0,0,0,0
27,9,0,1,1,6,1,0,2,0,0,0,0
28,9,6,1,1,6,1,0,2,0,0,0,0
29,9,4,1,1,6,1,0,2,0,0,0,0
30,9,5,1,1,6,1,0,2,0,0,0,0
31,10,12,1,1,6,1,0,2,0,0,0,0
32,10,20,1,1,6,1,0,0,0,0,0,0
33,11,27,1,1,6,1,0,0,0,0,0,0
34,11,35,1,1,6,1,0,0,0,0,0,0
35,12,42,1,1,6,1,0,0,0,0,0,0
36,12,21,1,1,7,1,0,0,0,0,0,0
37,13,17,1,2,7,1,0,0,3,0,0,0
38,13,4,1,2,8,1,0,0,3,0,0,0
39,13,13,1,2,8,1,0,0,3,0,0,0
40,14,15,1,2,8,1,0,3,3,0,0,0
41,14,13,1,2,8,1,0,3,0,0,0,0
42,14,12,1,2,8,1,0,3,0,0,0,0
43,14,14,1,2,8,1,0,3,0,0,0,0
44,14,24,1,2,8,1,0,3,0,0,0,0
45,15,33,1,2,8,1,0,0,0,0,0,0
46,16,39,1,2,8,1,0,0,0,0,0,0
47,16,42,1,2,8,1,0,0,0,0,0,0
48,17,43,1,2,8,1,0,0,0,0,0,0
49,18,18,1,2,9,1,0,0,0,0,0,0
50,18,26,1,2,9,1,0,0,4,0,0,0
51,19,24,1,2,9,1,0,0,4,0,0,0
52,20,23,1,2,9,1,0,4,0,0,0,0
53,20,20,1,2,9,1,0,4,0,0,0,0
54,20,17,1,2,9,1,0,4,0,0,0,0
55,19,24,1,2,9,1,0,4,0,0,0,0
56,20,30,1,2,9,1,0,4,0,0,0,0
57,21,43,1,2,9,1,0,0,0,0,0,0
58,22,48,1,2,9,1,0,0,0,0,0,0
59,22,34,1,2,10,1,0,0,0,2,2,0
60,23,11,1,2,10,1,0,0,0,2,2,0
61,23,0,1,2,10,1,0,0,0,2,2,0
62,23,7,1,2,10,1,0,0,0,2,2,0
63,23,14,1,2,10,1,0,0,0,2,2,0
64,24,22,1,2,10,1,0,0,0,0,0,0
65,24,30,1,2,10,1,0,0,5,0,0,0
66,25,36,1,3,10,1,0,5,0,0,0,0
67,25,34,1,3,10,1,0,5,0,0,0,0
68,26,31,1,3,10,1,0,0,0,0,0,0
69,27,40,1,3,10,1,0,0,0,0,0,0
70,28,44,1,3,10,1,0,0,0,0,0,0
71,28,23,1,3,11,1,0,0,0,0,0,0
72,29,29,1,3,12,1,0,0,0,0,0,0
73,30,16,1,3,12,1,0,0,0,0,0,0
74,30,13,1,3,12,1,0,0,0,0,0,0
75,30,26,1,3,12,1,0,0,0,0,0,0
76,31,39,1,3,12,1,0,0,0,0,0,0
77,32,44,1,3,12,1,0,0,0,0,0,0
78,32,46,1,3,12,1,0,0,0,0,0,0
79,33,45,1,3,12,1,0,0,0,0,0,0
80,34,46,1,3,12,1,0,0,0,0,0,0
81,35,47,1,3,12,1,0,0,0,0,0,0
82,36,48,1,3,12,1,0,0,0,0,0,0
83,37,33,1,3,13,1,0,0,0,0,0,0
84,37,26,1,3,13,1,0,0,0,0,0,0
85,39,9,1,3,14,1,0,0,0,0,0,0
86,39,19,1,3,14,1,0,0,0,0,0,0
87,39,28,1,3,14,1,0,0,0,0,0,0
88,39,38,1,3,14,1,0,0,0,0,0,0
89,40,44,1,3,14,1,0,0,0,0,0,0
90,41,44,1,3,14,3,0,0,0,0,0,0
91,41,32,1,3,15,4,0,0,0,3,3,0
92,42,7,1,3,15,4,0,0,0,3,3,0
93,42,3,1,3,15,4,0,0,0,3,3,0
